[ 2025-06-26 15:18:53,803 ] 20 root - INFO - Initiate the data ingestion.
[ 2025-06-26 15:18:54,653 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-26 15:18:54,653 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-26 15:18:54,653 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-26 15:18:54,684 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-26 15:18:54,684 ] 22 root - INFO - Data Initiation Completed.
[ 2025-06-26 15:18:54,687 ] 28 root - INFO - Initiate the data validation
[ 2025-06-26 15:18:54,696 ] 31 root - INFO - Required number of columns:2
[ 2025-06-26 15:18:54,696 ] 32 root - INFO - Data frame has columns:31
[ 2025-06-26 15:18:54,696 ] 31 root - INFO - Required number of columns:2
[ 2025-06-26 15:18:54,696 ] 32 root - INFO - Data frame has columns:31
[ 2025-06-26 15:18:54,784 ] 30 root - INFO - Data Validation Completed.
[ 2025-06-26 15:18:54,784 ] 35 root - INFO - data Transformation started
[ 2025-06-26 15:18:54,784 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-26 15:18:54,784 ] 63 root - INFO - Starting data transformation
[ 2025-06-26 15:18:54,795 ] 47 root - INFO - Entered get_data_trnasformer_object method of Transformation class
[ 2025-06-26 15:18:54,795 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-26 15:18:54,798 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-26 15:18:54,800 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-26 15:18:54,800 ] 39 root - INFO - data Transformation completed
[ 2025-06-26 15:18:54,800 ] 42 root - INFO - Model Training sstared
[ 2025-06-26 15:20:46,937 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-26 15:20:46,937 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-26 15:20:46,937 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-26 15:20:46,952 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-26 15:20:46,952 ] 124 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/06_26_2025_15_18_51/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910532736884913, precision_score=0.9892429470265882, recall_score=0.992870238337747), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9748703629836458, precision_score=0.9706115965051628, recall_score=0.9791666666666666))
