[ 2025-06-26 14:46:07,731 ] 20 root - INFO - Initiate the data ingestion.
[ 2025-06-26 14:46:08,862 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-26 14:46:08,862 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-26 14:46:08,862 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-26 14:46:08,893 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-26 14:46:08,893 ] 22 root - INFO - Data Initiation Completed.
[ 2025-06-26 14:46:08,896 ] 28 root - INFO - Initiate the data validation
[ 2025-06-26 14:46:08,905 ] 31 root - INFO - Required number of columns:2
[ 2025-06-26 14:46:08,905 ] 32 root - INFO - Data frame has columns:31
[ 2025-06-26 14:46:08,905 ] 31 root - INFO - Required number of columns:2
[ 2025-06-26 14:46:08,905 ] 32 root - INFO - Data frame has columns:31
[ 2025-06-26 14:46:08,992 ] 30 root - INFO - Data Validation Completed.
[ 2025-06-26 14:46:08,992 ] 35 root - INFO - data Transformation started
[ 2025-06-26 14:46:08,992 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-26 14:46:08,992 ] 63 root - INFO - Starting data transformation
[ 2025-06-26 14:46:09,002 ] 47 root - INFO - Entered get_data_trnasformer_object method of Transformation class
[ 2025-06-26 14:46:09,002 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-26 14:46:09,006 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-26 14:46:09,007 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-26 14:46:09,007 ] 39 root - INFO - data Transformation completed
[ 2025-06-26 14:46:09,007 ] 42 root - INFO - Model Training sstared
