[ 2025-06-26 11:09:47,996 ] 17 root - INFO - Initiate the data ingestion.
[ 2025-06-26 11:09:48,871 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-26 11:09:48,871 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-26 11:09:48,871 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-26 11:09:48,902 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-26 11:09:48,903 ] 19 root - INFO - Data Initiation Completed.
[ 2025-06-26 11:09:48,905 ] 25 root - INFO - Initiate the data validation
[ 2025-06-26 11:09:48,915 ] 31 root - INFO - Required number of columns:2
[ 2025-06-26 11:09:48,915 ] 32 root - INFO - Data frame has columns:31
[ 2025-06-26 11:09:48,915 ] 31 root - INFO - Required number of columns:2
[ 2025-06-26 11:09:48,915 ] 32 root - INFO - Data frame has columns:31
[ 2025-06-26 11:09:49,002 ] 27 root - INFO - Data Validation Completed.
