[ 2025-06-26 14:47:53,802 ] 20 root - INFO - Initiate the data ingestion.
[ 2025-06-26 14:47:54,746 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-26 14:47:54,746 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-26 14:47:54,746 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-26 14:47:54,777 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-26 14:47:54,777 ] 22 root - INFO - Data Initiation Completed.
[ 2025-06-26 14:47:54,779 ] 28 root - INFO - Initiate the data validation
[ 2025-06-26 14:47:54,788 ] 31 root - INFO - Required number of columns:2
[ 2025-06-26 14:47:54,788 ] 32 root - INFO - Data frame has columns:31
[ 2025-06-26 14:47:54,788 ] 31 root - INFO - Required number of columns:2
[ 2025-06-26 14:47:54,789 ] 32 root - INFO - Data frame has columns:31
[ 2025-06-26 14:47:54,871 ] 30 root - INFO - Data Validation Completed.
[ 2025-06-26 14:47:54,871 ] 35 root - INFO - data Transformation started
[ 2025-06-26 14:47:54,871 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-26 14:47:54,871 ] 63 root - INFO - Starting data transformation
[ 2025-06-26 14:47:54,881 ] 47 root - INFO - Entered get_data_trnasformer_object method of Transformation class
[ 2025-06-26 14:47:54,881 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-26 14:47:54,885 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-26 14:47:54,886 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-26 14:47:54,886 ] 39 root - INFO - data Transformation completed
[ 2025-06-26 14:47:54,886 ] 42 root - INFO - Model Training sstared
[ 2025-06-26 14:49:41,882 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-26 14:49:41,882 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-26 14:49:41,882 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-26 14:49:41,896 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-26 14:49:41,896 ] 110 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/06_26_2025_14_47_53/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911970049580087, precision_score=0.9896948878561326, recall_score=0.9927036886907175), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9747762408462164, precision_score=0.9700404858299595, recall_score=0.9795584627964022))
